Start Frame,Start Time [s],End Frame,End Time [s],Team,Type,Subtype,From,To,Start X,Start Y,End X,End Y
1,0.0,14,1.3,Home,Pass,Build Up,Home_7,Home_9,0.32,0.47,0.46,0.49
25,2.4,25,2.4,Home,Shot,Open Play,Home_9,,0.7,0.52,0.88,0.48
27,2.6,27,2.6,Home,Goal,Low Finish,Home_9,,0.75,0.5,0.98,0.48
45,4.4,45,4.4,Away,Recovery,High Press,Away_4,,0.57,0.54,0.57,0.54
49,4.8,60,5.9,Away,Pass,Switch,Away_4,Away_10,0.52,0.51,0.31,0.44
63,6.2,63,6.2,Away,Foul,Central,Away_10,,0.24,0.42,0.24,0.42
70,6.9,70,6.9,Home,Set Piece,Corner,Home_7,,0.19,0.43,0.01,0.02
88,8.7,101,10.0,Home,Pass,Cutback,Home_7,Home_9,0.31,0.47,0.62,0.54
108,10.7,108,10.7,Home,Shot,Edge Box,Home_9,,0.68,0.53,0.86,0.49
112,11.1,112,11.1,Away,Recovery,Goalkeeper Claim,Away_4,,0.73,0.5,0.73,0.5
118,11.7,132,13.1,Away,Pass,Counter,Away_4,Away_10,0.61,0.47,0.32,0.36
136,13.5,136,13.5,Away,Shot,Transition,Away_10,,0.24,0.41,0.08,0.46
140,13.9,140,13.9,Home,Recovery,Second Ball,Home_7,,0.24,0.45,0.24,0.45
145,14.4,156,15.5,Home,Pass,Overlap,Home_7,Home_9,0.29,0.46,0.57,0.55
160,15.9,160,15.9,Home,Shot,Open Play,Home_9,,0.65,0.56,0.9,0.54
164,16.3,164,16.3,Away,Recovery,Loose Ball,Away_10,,0.66,0.51,0.66,0.51
168,16.7,168,16.7,Away,Foul,Right Wing,Away_4,,0.55,0.36,0.55,0.36
173,17.2,173,17.2,Home,Set Piece,Corner,Home_7,,0.33,0.33,0.02,0.01
