Frame,Time [s],Period,Home_7_x,Home_7_y,Home_9_x,Home_9_y,Away_4_x,Away_4_y,Away_10_x,Away_10_y,ball_x,ball_y
1,0.0,1,0.25,0.45,0.35,0.49,0.44,0.46,0.48,0.52,0.32,0.47
2,0.1,1,0.26,0.45,0.36,0.49,0.45,0.46,0.49,0.53,0.33,0.47
3,0.2,1,0.28,0.45,0.38,0.49,0.46,0.46,0.51,0.53,0.34,0.47
4,0.3,1,0.29,0.45,0.39,0.49,0.47,0.46,0.52,0.53,0.35,0.47
5,0.4,1,0.30,0.45,0.40,0.50,0.48,0.47,0.53,0.53,0.36,0.48
6,0.5,1,0.32,0.45,0.41,0.50,0.49,0.47,0.55,0.53,0.38,0.48
7,0.6,1,0.33,0.45,0.42,0.50,0.50,0.47,0.56,0.53,0.39,0.48
8,0.7,1,0.34,0.45,0.44,0.50,0.51,0.47,0.57,0.53,0.40,0.48
9,0.8,1,0.35,0.46,0.45,0.51,0.52,0.47,0.58,0.53,0.41,0.48
10,0.9,1,0.36,0.46,0.46,0.51,0.53,0.48,0.60,0.53,0.42,0.48
11,1.0,1,0.38,0.46,0.47,0.51,0.54,0.48,0.61,0.53,0.43,0.49
12,1.1,1,0.39,0.45,0.48,0.51,0.55,0.48,0.62,0.53,0.44,0.49
13,1.2,1,0.40,0.45,0.50,0.51,0.56,0.48,0.63,0.53,0.45,0.49
14,1.3,1,0.41,0.45,0.51,0.51,0.57,0.48,0.64,0.53,0.47,0.49
15,1.4,1,0.42,0.45,0.52,0.51,0.58,0.49,0.66,0.53,0.48,0.49
16,1.5,1,0.43,0.45,0.53,0.52,0.59,0.49,0.67,0.53,0.49,0.49
17,1.6,1,0.44,0.45,0.54,0.52,0.60,0.49,0.68,0.53,0.50,0.49
18,1.7,1,0.45,0.45,0.55,0.52,0.61,0.49,0.69,0.53,0.51,0.49
19,1.8,1,0.46,0.46,0.56,0.52,0.62,0.49,0.70,0.53,0.52,0.49
20,1.9,1,0.47,0.46,0.57,0.52,0.62,0.49,0.71,0.53,0.53,0.50
21,2.0,1,0.48,0.46,0.58,0.52,0.63,0.49,0.72,0.53,0.54,0.50
22,2.1,1,0.49,0.46,0.60,0.52,0.64,0.49,0.73,0.53,0.55,0.50
23,2.2,1,0.50,0.46,0.61,0.52,0.65,0.49,0.74,0.53,0.57,0.50
24,2.3,1,0.51,0.46,0.62,0.51,0.66,0.49,0.76,0.53,0.58,0.50
25,2.4,1,0.52,0.46,0.63,0.51,0.67,0.49,0.77,0.53,0.59,0.50
26,2.5,1,0.53,0.46,0.64,0.51,0.68,0.49,0.78,0.53,0.60,0.50
27,2.6,1,0.54,0.46,0.65,0.51,0.69,0.49,0.79,0.53,0.61,0.50
28,2.7,1,0.55,0.46,0.66,0.51,0.70,0.49,0.80,0.53,0.62,0.50
29,2.8,1,0.56,0.46,0.67,0.51,0.72,0.49,0.81,0.53,0.63,0.50
30,2.9,1,0.57,0.47,0.68,0.51,0.73,0.49,0.82,0.54,0.64,0.50
31,3.0,1,0.58,0.47,0.69,0.51,0.74,0.49,0.83,0.54,0.66,0.50
32,3.1,1,0.59,0.47,0.70,0.51,0.75,0.49,0.84,0.54,0.67,0.50
33,3.2,1,0.60,0.47,0.71,0.51,0.76,0.49,0.85,0.54,0.68,0.50
34,3.3,1,0.61,0.47,0.72,0.51,0.77,0.49,0.85,0.54,0.69,0.50
35,3.4,1,0.62,0.47,0.73,0.50,0.78,0.49,0.86,0.54,0.70,0.50
36,3.5,1,0.63,0.47,0.74,0.50,0.79,0.49,0.87,0.54,0.71,0.50
37,3.6,1,0.64,0.47,0.75,0.50,0.81,0.49,0.88,0.54,0.72,0.50
38,3.7,1,0.65,0.47,0.76,0.50,0.82,0.49,0.89,0.54,0.73,0.50
39,3.8,1,0.66,0.47,0.77,0.50,0.83,0.48,0.90,0.54,0.74,0.50
40,3.9,1,0.67,0.47,0.78,0.50,0.84,0.48,0.91,0.54,0.76,0.50
41,4.0,1,0.68,0.47,0.79,0.50,0.86,0.48,0.92,0.54,0.77,0.50
42,4.1,1,0.69,0.47,0.80,0.50,0.87,0.48,0.93,0.54,0.78,0.49
43,4.2,1,0.69,0.49,0.79,0.52,0.87,0.49,0.92,0.55,0.77,0.51
44,4.3,1,0.68,0.50,0.78,0.53,0.86,0.50,0.91,0.57,0.76,0.52
45,4.4,1,0.67,0.51,0.77,0.54,0.85,0.51,0.90,0.58,0.75,0.53
46,4.5,1,0.66,0.52,0.76,0.55,0.84,0.52,0.89,0.58,0.74,0.54
47,4.6,1,0.65,0.52,0.75,0.55,0.84,0.52,0.88,0.59,0.74,0.54
48,4.7,1,0.64,0.53,0.75,0.56,0.83,0.53,0.87,0.60,0.73,0.55
49,4.8,1,0.64,0.53,0.74,0.56,0.82,0.53,0.86,0.60,0.72,0.55
50,4.9,1,0.63,0.53,0.73,0.56,0.81,0.53,0.85,0.60,0.71,0.55
51,5.0,1,0.62,0.52,0.72,0.56,0.81,0.52,0.84,0.60,0.70,0.55
52,5.1,1,0.61,0.52,0.71,0.56,0.80,0.52,0.83,0.60,0.69,0.54
53,5.2,1,0.60,0.51,0.70,0.56,0.79,0.51,0.82,0.59,0.68,0.54
54,5.3,1,0.60,0.50,0.69,0.55,0.78,0.51,0.81,0.59,0.67,0.53
55,5.4,1,0.59,0.49,0.68,0.54,0.77,0.50,0.80,0.58,0.66,0.52
56,5.5,1,0.58,0.48,0.67,0.54,0.77,0.49,0.79,0.57,0.65,0.51
57,5.6,1,0.57,0.47,0.66,0.53,0.76,0.48,0.78,0.56,0.64,0.50
58,5.7,1,0.57,0.46,0.65,0.52,0.75,0.47,0.77,0.55,0.63,0.49
59,5.8,1,0.56,0.45,0.65,0.51,0.74,0.46,0.77,0.54,0.63,0.48
60,5.9,1,0.55,0.44,0.64,0.50,0.73,0.45,0.76,0.53,0.62,0.47
61,6.0,1,0.54,0.43,0.63,0.49,0.72,0.44,0.75,0.52,0.61,0.47
62,6.1,1,0.54,0.42,0.62,0.48,0.72,0.43,0.74,0.51,0.60,0.46
63,6.2,1,0.53,0.42,0.61,0.48,0.71,0.43,0.73,0.51,0.59,0.45
64,6.3,1,0.52,0.41,0.60,0.48,0.70,0.42,0.72,0.50,0.58,0.45
65,6.4,1,0.51,0.41,0.60,0.47,0.69,0.42,0.71,0.50,0.57,0.45
66,6.5,1,0.50,0.41,0.59,0.48,0.68,0.42,0.71,0.50,0.56,0.45
67,6.6,1,0.50,0.41,0.58,0.48,0.67,0.43,0.70,0.50,0.55,0.45
68,6.7,1,0.49,0.42,0.57,0.48,0.66,0.43,0.69,0.51,0.54,0.46
69,6.8,1,0.48,0.43,0.56,0.49,0.65,0.44,0.68,0.51,0.53,0.47
70,6.9,1,0.47,0.44,0.55,0.50,0.64,0.45,0.68,0.52,0.52,0.47
71,7.0,1,0.46,0.45,0.55,0.50,0.63,0.46,0.67,0.53,0.51,0.48
72,7.1,1,0.45,0.46,0.54,0.51,0.62,0.47,0.66,0.54,0.51,0.49
73,7.2,1,0.44,0.47,0.53,0.53,0.61,0.49,0.65,0.55,0.50,0.51
74,7.3,1,0.43,0.47,0.52,0.52,0.59,0.48,0.64,0.55,0.49,0.51
